stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0.28,0,0.28,0,0,0
21Day,0,2.22,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0.37
3Month,0.21,1.46,0.1,0.1,0.42,0.21,1.14,0.21,0,0.94,0.1,0.1,0.31,0.31,0.21,0.1,0,0,0.1,0.21,0.42
22Month,0,0.27,0,0,0.27,0,0.82,0.14,0.27,0.14,0.14,0,0.27,0.27,0,0,0,0,0,0,0.14
