stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0.28,0.28,0.28,0.28,0,16.35,20.29,0,0.85,0,7.33,0,0
21Day,0.74,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0,5.55,3.33,0,0.37,0,2.59,0.74,0
3Month,0,0,0.1,0,0,0.21,0,0.1,0.1,0.1,0,0.21,0,0.1,0,0,0,0.42,0,0,0.21
22Month,0,0.14,0,0,0.55,4.1,0,0,0,0.14,0.14,0.55,0.14,0,0,0.14,0,0.41,0,0,0
