stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0
3Month,0.21,0.21,5.72,0,0,0.1,0,2.39,0.21,0.1,0.42,3.64,1.25,0.21,0.52,0,0,0.21,0.1,0,0.1,1.77,0.1,6.24,0.31
22Month,0.27,0,1.23,0.14,0,0,0.14,2.73,0.14,0,0,0.27,0.14,0.14,0,0.14,0,0,0,0,0,0.41,0,0,0.27
