stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0.28,1.41,0,1.41,3.66,0,0.85,0,0,0.28,0.28,0,0
21Day,0,0.37,1.11,0,0.37,0,0,0,0,0,0.74,0.37,1.48,0,0.37,0.74,0.37,0,0.37,0.37,0.37,0.37,0,0
3Month,0.21,0,0.31,0,0,0.21,0.52,0.31,0.21,0.1,0,0,0.21,0.1,0,0,0,0,0,2.91,0,0,2.29,0.1
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
