stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.13,0,1.97,0,0,0,0,0,0,0,0,0.28,0,1.69,1.97,0,3.1,0,0.85,0.56,0,0.56,2.54,0,0,1.13,0,0,0,0,0,0,0
21Day,0.74,0.37,0,2.59,0,2.59,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,1.48,0,0,0,0,0.74,0,0,0,0.37,1.11,0,0,0.37,0,0,0.37
3Month,0.1,0.1,0,7.7,0.1,0,0.1,0.1,0.94,1.14,0,0,21.74,1.04,0.1,4.78,0.52,2.6,1.14,3.74,0.42,0,0.21,1.66,0.1,0,0.1,0,0,0.31,3.22,0,0,0.31,6.55,0.62
22Month,0,0.68,0.55,2.32,0,0,0,0.14,0.68,2.32,0.41,0,54.39,1.09,2.05,6.29,0.14,0.27,3.96,2.19,0.27,0.41,0.14,0,0,0,0.68,0.14,0,0,0.68,0.27,0,0,0,0.41
