stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,14.43,0,1.11,0,0,8.14,0,0,0,0,0.37,0.37,0.37,1.85,0,0,0,0.37,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37
3Month,0.31,0.42,59.91,0.21,0,0.21,0.1,182.76,1.87,0,3.85,2.91,0.21,5.3,0.94,1.98,1.25,1.56,0.62,0,0.31,0.52,0.42,0.1,0.31,0.31,0,0,0.83,2.5,0,0,0.1,0.31,1.14,1.46
22Month,0.41,0.82,12.03,0,0,0.14,0,66.55,0.96,0.27,8.47,0.55,0.55,4.78,0.14,0,0.68,1.37,0,0.27,0.14,0.14,0.14,0,0.68,0,0.14,0,0.27,0.96,0.14,0,0,0,0,0.68
