stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,5.36,0,3.1,0,0,0,0,9.3,1.13,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,6.66,0,5.92,0.37,1.85,0,0.37,1.48,1.85,0.37,0,0,0,0,0.74,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,0.1,1.14,0.42,2.81,1.87,59.71,0,0.83,1.25,0.52,0.21,0.1,0.1,0.1,0.1,0,0.21,0.21,0.42,0,0,0.42,0.62,0.1
22Month,0,0,3.83,0,4.78,0.41,0.27,0.14,0,1.09,0.41,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0
