stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.97,0.28,0,1.97,1.13,1.69,0,0,0,0,0,0,0,0,0,0,0.56,5.36,0.28,3.66,0.28,3.38,352.87,13.53,0,0,4.79,0.28,0,2.54,12.97,14.09,0.56,0,0,0
21Day,1.85,0,0,6.66,0,6.29,0,1.11,0,0,0,0,0,0.37,1.11,0.37,0.37,4.81,1.11,10.36,0,6.66,115.44,3.33,0,1.11,3.33,2.59,0.74,2.59,20.72,86.21,1.11,0,0,0.37
3Month,0,0,0.1,2.81,0.1,0,0.1,0,0.1,0.21,0.1,0,1.46,0,0.1,0.21,0.52,1.04,0.21,1.46,0,0,2.18,0.62,0.21,0,0.1,0.1,5.51,0.42,0,0.21,0.31,0.1,4.68,0.31
22Month,0,0,0.27,0.55,0.14,0,0,0,0.27,0.14,0.55,7.38,3.83,0,0.14,0.41,0.14,0.14,0.27,0.55,0.14,0,3.14,0,0.27,0,0,0,1.91,0.82,0.68,0,0.14,0,0.14,0
