stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,39.18,0.28,1.13,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0.28,0.28,0,6.2,1.69,0,0.56,0,0,0.28,0,0.56,0,0,0
21Day,18.5,1.85,1.85,0,0,0,0,0,0,0.74,0.37,0,0.74,0.37,2.22,0,0.37,0.37,1.11,1.85,0.37,0.74,0.37,0,0,0.74,0.74,0,0,0
3Month,3.33,0.62,0,0.1,0.1,0.1,0.31,1.98,0.52,0,0.21,0.1,0.42,0.31,0.62,0,0.21,0.1,0,0,0,0.1,0,0.73,0,0,0,0.1,0.21,0.42
22Month,0.68,0.14,0,0,0,0,0.55,0.82,0.14,0,0.55,0,0,0.27,0.27,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0
