stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,0,3.7,0.37,0,0.37,0,0.37,0.37,0,0.37,0,0
3Month,0,0.21,2.08,0,0.42,0.52,0,4.89,0.1,0.21,0.83,0.1,0,0.21,0.94,0,0.21,0,0.1,0.1,0,0.31,0.21,3.74,0.1,0,0.83,0.21
22Month,0,0.14,1.23,0,0.14,0.27,0.41,8.75,0.41,0,0.96,0,0,0.27,0.41,0.68,0,0,0,0,0,0,0.14,4.92,0,0,0.14,0
