stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.42,0,0.31,1.04,0.1,0.62,0.1,0.1,0.1,0.21,0.21,0,1.66,1.98,0.1
22Month,0.41,0.14,0.14,2.46,0,1.09,0,0,0,0.14,0,0.14,0,0,0
