stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.56,0,0,0,0,0,0,0.56,0,0,3.66,0,0,0,0,2.82,0,0,0.56,0,0,0,0,0
21Day,0,0,0.37,0.37,0.74,0,0,0,0,0,0,0,0.37,0,4.81,0,0,0,0,1.11,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,6.24,0,0.1,0.94,0.1,0,5.3,3.12,0.21,0.21,0.42,2.18,0.31,0,0.31,1.04,0.1,0,0.31,0,0.21,0.52,2.5,0.73,0.1
22Month,0,0.14,0.68,1.5,0,0,0.14,0.14,0.14,8.34,1.5,0,0,0.14,0.27,0,0.41,0.14,0.14,0,0,0.14,0,0,0,0,0,0.14
