stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,1.13,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.74,0.37,0,0,0,0,0
3Month,0,0.42,0,0.1,0.21,0,0.73,0.1,0.1,0.31,0.52,0.1,0.1,0,0,0,0.31,0.1,0.1
22Month,0.27,0.27,0,0.14,0.55,0.14,2.05,0.14,0.14,0.14,0,0.41,0.27,0,0,0.14,0.14,0,0.27
