stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,1,0,0,1,0,0,2,0
72hpf,0.28,0,0,0,0.28,0,0,0
21Day,1.11,0,0,0,0,0,0.74,0
3Month,0.1,0.1,0.1,0,0,0,0,0.21
22Month,0,0.14,1.37,0,0,0.14,0,0
