stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,1.69,8.17,0,0,1.13,0,0,1.41,3.38,2.82,0,0,0
21Day,0.37,0,0,1.48,1.85,0.37,0.37,0,0,0,0,0.37,1.11,0.37,0,0,0.37,0,0.37,0,1.85,3.33,0,0,1.11,0.37,0,0,50.69,41.07,0,0,0.74
3Month,0,0.1,0,0.73,0,0.1,0.1,0,0,1.87,0.21,0.21,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.21,0,0,0.1,2.7,0.1,0.83,0.1,0.1,2.5,0.21
22Month,0,0,0.14,0.68,0,0,0.96,0.14,0,19.27,0,0.14,0.68,0.14,0,0.41,0.27,0.14,0.14,0,0.14,0,0,0.14,0,0,2.87,0.27,41.13,0,0.14,0.14,0.14
