stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0.28,0,0.28,0,0,0.85,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,5.55,0,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.42,0.1,0,0,1.25,0.1,1.35,0.21,0.1,0.42,0.31,0.62,0.21,0,0.1,0,0.1,0.31,0,0.1,0.1
22Month,0,0,0.14,0.14,0,0.82,0,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
