stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,4,0,0,0,0,0,0,0,0,0,6,0
72hpf,1.13,0.28,0.56,0.85,0,0,0,0,0,0,0.28,0,0.56,0,0.28,75.82,4.23,0,0.56,0,0.56,0,0,0.28,4.23,2.25,6.2,0
21Day,0.74,1.48,0,1.85,0.74,0,0.37,0.74,0.74,0,1.11,0.37,2.59,0,0,89.17,1.48,0.37,1.48,0,1.48,0.74,0,0,8.14,18.87,1.85,0.37
3Month,0,0.73,0,0,0,0,0.1,0.1,0.1,0.1,0,0.31,0.42,0.1,0,5.72,0,0.42,0.31,0,0,0,1.46,0.1,0.1,0.1,0.21,0
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0.96,0,0.55,0.27,0.14,0,0,0.96,0.27,0.41,0,0,0
