stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,3.66,0,0,0.28,1.13,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0.74,0,0,0
3Month,0.1,0.1,0,1.35,0.1,0.31,0,0.21,0.1,0.1,0.21,0,0.1,0.1,0,0.1,0.31,0,0.1,0,0.1,0.1,0.1
22Month,0.14,0.27,0.41,8.34,0,0.68,0,0,0.14,0.14,0,0,0,0,0,0,0.14,0.14,1.5,0,0,0,0
