stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0.85,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.74,0,0,0.37,0,0,0.37,0,0,0.37,0.74,0,0,0,0
3Month,0.52,0.1,5.62,0.21,0,0.42,1.35,0,0,6.24,1.14,0.31,2.91,0.31,1.56,0.94,0.94,0.52,0,0.31,0.62,0.94,0,0.42,0.42,0.1,1.04,40.67,0.1,0,0.21,0.62,268.36,1.46
22Month,0.14,0,0,0.14,0,0.27,0.55,0.14,0,1.37,0,0.27,0.41,0,0.14,2.05,0.55,0,0.27,0.14,0,0.14,0,0.55,0,0,0,6.01,0,0,0,0,1.09,1.37
