stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,0.85,1.41,0,0,0,0,0,0,0,0,0.56,3.1,1.41,1.13,0,0,0.28,136.13,25.93,0.28,0.85,0,2.82,0,0,0.28,7.89,3.1,0.56,0.85,0,0,0
21Day,0,0,2.59,1.11,0,0,0.74,0,0,0.37,0,0,0,0.37,0.74,1.85,0,0,0,33.67,8.14,0,0,0,0.37,0.74,0,0,1.85,1.85,1.48,0.74,0,0,0.37
3Month,0.1,0.73,2.08,0,0.1,0.42,8.63,0,2.18,3.85,1.04,0.62,0.1,0.52,2.6,0.62,0,0,0.31,3.22,0.83,2.6,1.87,0,0,0.1,0.1,7.59,0.52,0,0.1,0.21,0.31,2.7,0.83
22Month,0,0.14,0.68,0,0,0.14,12.85,0.41,3.69,5.19,0.55,0.41,0,0.14,2.19,0.41,0.14,0.14,0,0.55,0,0.55,0.55,0.14,0,0,0,2.19,1.5,1.23,0,0,0,0,0.27
