stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,1,0
72hpf,0,0,0,0.56,0,1.41,0.85,0.28
21Day,0,0,0,0,0,0,0,0.37
22Month,0.14,0.82,0.27,0.27,0.14,0,0,0
