stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,4,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.28,0,0,0,0,0.28,0,0,0,3.66,0.28,0,0.28,0,21.98,1.69,1.69,0,0.28,0,0,0.28,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,6.29,0.74,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.98,0,0.1,0.1,0.21,0.42,1.25,0.83,0,0.31,0,0.62,0.31,1.25,0.31,86.33,0,0,0.21,0,0.42,0.52,0.1,0.31,0.42
22Month,0,0,0,0.14,0,0,0,0,0,0.41,0.14,0.14,0,0,0,0.14,0,0,0.96,0,0,0,0,0,0,0,0,0
