stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,3.1,0.56,0,0.28,0,0,1.13,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,2.59,0.37,0.37,0.74,0.37,0,1.48,0.37
3Month,0.1,0,0,0.52,0.1,1.14,0.21,0,0.21,0,0.1,0,0.1,0,0,0.1,0.21,0.62,0,0.52
22Month,0.27,0.14,0,0.14,0,0.68,0,0.41,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0
