stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,13.32,0.37,2.22,0,1.11,0,0,0.74,0,0,3.7,0,1.11,0.37,1.11,0,0,0.37,0,0.37,0.74,0,0,0,0.37,0.74,0,0.37,0.74,0.37,0,0,0
3Month,0.31,0.42,16.54,6.66,0,0.52,172.67,1.66,0,15.81,2.6,0.21,72.92,0.73,1.98,1.35,2.29,0.73,0.21,0.73,0.62,0,0.1,0.83,0.21,0,0.1,0.94,1.56,0.1,0,0,0.52,1.35,0.94
22Month,0,0.41,10.11,4.65,0,0.27,40.58,0.41,0.27,10.66,0.55,0,118.07,0.14,0,0.96,0.55,0.14,0.27,0.27,0,0,0,1.09,0.41,0.27,0,0.27,0.82,0.68,0,0,0,0,0.41
