stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0,0,34.95,1.97,0,0.28,0.56,0,0,0,0.28,0,0,0,0
21Day,0,0,1.11,0.37,0,0.74,0,0,0.37,0,0.74,0,0,0.74,0,0,0,0,0,0,17.76,0,0,0.37,0.37,1.48,0,0,0,0.37,0,0,0
3Month,0,0.21,0.73,0,0,0,0.31,0,1.98,0.31,0,0.1,0,0.42,0.42,0.62,0.1,0,0,0.21,0.21,0,0.52,0,0,0.21,2.5,0,0,0,0.21,0.31,0.31
22Month,0,0.55,0.55,0,0,0,0,0.27,11.07,0.41,0.27,0.14,0,0,0.27,1.23,0,0.68,0.55,0,0.27,0,0.27,0.55,0,0,1.09,0.14,0,0,0,0,0
