stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0
21Day,1.11,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,1.14,0.1,0.83,0.21,0.1,0.21,0.1,0.21,0.1,0.1,0.42,0.1,0,0.83,0.1,0.1,0.1
22Month,0.41,0,2.32,0,0,0.41,0,0,0,0.14,0.27,0.14,0,0.14,0,0,0
