stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,1,0,0,2,0,0,0,0,2,5,0,4,26,1,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.28,0,2.54,1.13,0.28,0.56,0
21Day,1.11,0,0.37,2.22,1.85,0.37,0.74,0,0.74,2.96,0.37,5.18,2.96,0.74,0.37,0.37
22Month,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0
