stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,3.38,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0.28,0,0,0,0,0,0
21Day,4.81,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0.37,4.07,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0.1,0,0.42,0,0,0.1,0,0.52,0.21,0.21,0,0.21,0.1,0,0.42,0,0,0,0.42,0,0,0.1,0.21,0.1
22Month,0.27,0.14,0.55,0,0.27,0.41,0.14,4.37,0.27,0.27,0.14,0.14,0.82,0,0,0,0.14,0,0.41,0.14,0,0,0,0.14
