stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0
21Day,0,0.37,1.85,0,2.59,0,0,0,0,0.37,13.32,0.37,0.37,1.11,0.37,0,0,0.37,0,0,0,0.37,0,0,0.37,3.33
3Month,0.21,0.62,0,0.1,0.62,0.1,0,0,0.21,0.21,0.94,0,0.31,0.31,0.31,0.1,0,0,0,0,0.1,0,0.21,0,0,7.91
22Month,0,0.14,0,0,0,0,0.14,0.14,1.64,0,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,2.46
