stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,0.85,0,6.48,0.28,0.28,0,0,0
21Day,0.74,0,0,0,0.37,4.44,0.37,0,0.37,0.37,0.74
3Month,0,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0,0.14,0.27,0,0,0,0,0,0,0,0
