stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,10,20,0,0,1,9,135,0,1,0,0,0,2,0,0,0
72hpf,0,0,0,0.28,0.85,0.56,0,0,0,0,0,0,0,0,0,0.28,1.13,0.28,3.38,0.28,0,0.28,20.57,3.95,0.28,2.25,0.28,0.28,1.41,0,0,0,0
21Day,0,0,0.37,1.11,0,1.11,0.37,0,0,0,0,0.37,0,0.74,0,0.74,0.37,0,2.96,0,0.37,0,4.07,1.48,0.37,1.11,0,0,0,0,0,0,0.37
3Month,0,0,0.1,0.31,0,0,0,0,0.1,0,0,1.46,0.1,0,0,0,0,0.42,0,0,0.1,0.21,0,0,0,0,0,0.31,0,0,0.21,0.1,0
22Month,0,0.41,0.14,0.68,0,0,0,0.27,0.55,0.14,0,6.56,0.14,0.14,0.96,0,0.14,0.41,1.23,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0
