stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.54,0.28,0.28,0,0,0,0,0,0,0,0,0,1.97,19.17,0,0.28,0,0,4.23,0.85,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,25.16,0,1.11,0,0,0,0,0,0.37,0,0.37,0,5.18,7.77,1.48,0,1.11,0,3.33,0.74,0.37,0,0.37,1.11,0,0.37,0,0
3Month,0,0,0.1,26.11,0,0,0.21,0.1,0.42,0,0,1.04,0.21,0,0.62,5.51,2.81,0.42,1.04,0.21,0.1,16.54,0.1,0.1,0.1,0.1,0.1,0.62,0,0.21,0.21
22Month,0,0.27,0,6.42,0,0,0.27,0,1.23,0.14,0,2.6,0.14,0.14,0.14,1.64,1.5,0.55,0,0.14,0,5.33,0,0,0,0,0,0,0,0,0
