stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,176.44,0.28,1.41,0,2.25,0,0,0,0,0,0,0,0.28,2.82,0,1.69,0,0.28,0.28,7.05,4.79,0,0,1.97,0.28,0.28,0.28,0,0
21Day,99.16,0,4.07,0.37,2.59,0.37,0,0,1.48,0,0.74,0,0.74,2.59,0,5.18,0,0,1.11,4.07,1.11,0,0,3.33,1.48,0,0.37,1.11,0.74
3Month,2.18,0.21,1.25,0,0,0,0.1,0.21,2.6,0.42,0.1,0,0.1,0.21,0.31,1.87,0.42,0,0.1,0.1,0.1,0.1,0,0,0.1,1.14,0,0,0.31
22Month,1.64,0.41,1.23,0,0,0,0.14,0.41,16.81,0.55,0.55,0.68,0,0.14,0.27,3.01,0.41,0,0.41,0.27,0.41,0,0.14,0,0.14,0.96,0.14,0,0.41
