stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,62.85,2.54,0,0.56,0.85,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0.74,0,0.74,0.74,0.37,0.37,0.37,1.85,1.48,0,0.37,0,44.4,1.48,0.74,1.11,0.74,0.74,0,0,0.37,0.37,0,0
3Month,0,0.21,0.1,1.98,0,0.1,0.1,0.21,0.94,0,1.46,3.64,0.94,0.21,0.73,1.66,0.1,0,0.31,0.1,0.42,0.1,0.31,0.1,0,0,1.87,0,0,0,0.52,1.14
22Month,0,0.14,0,0.55,0,0,0,0.27,1.64,0.41,2.32,0.68,0.14,0,0,2.32,0.55,0.14,0,0,0.14,0,0.14,0.14,0,0,0,0.14,0,0,0,1.37
