stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,0.56,0,0,0,0,0,0,0,0,0,47.35,0,0.85,0,0,0,0,4.79,3.38,0,1.41,0,0,0,0,0,0
21Day,0.37,0,0,22.94,1.85,0,0,0,0,0,0,0.37,0,0,23.68,1.11,1.48,0,0,0,0,2.59,0,0,1.11,0.37,0,0,0,0,0
3Month,0.1,1.14,0.1,31.1,0,0.1,0.42,0.31,0,4.99,0.42,0,1.98,0.52,1.98,2.7,0.42,0.21,0,0.21,1.25,0.1,0,0.1,0.1,0.21,0.62,0,0.1,0.21,0.31
22Month,0,3.55,0.14,3.69,0,0,0,0.41,0.14,9.29,0.27,0.14,0.96,0.14,1.23,4.78,1.23,0.14,0.41,0,0.14,0,0,0,0.14,0.14,1.64,0.27,0.14,0,0.14
