stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0,0,3.1,1.41,0.28,0,0,0,0,6.48,4.51,0,0,0,1.13,0,0.28,1.13,0.28,0.28,0,0,0
21Day,2.22,0.74,0,12.95,0.37,1.48,0,1.48,0,0,0,0,0,1.48,0.37,3.7,1.11,1.11,6.66,3.7,4.07,0,0,1.85,0,4.07,1.11,0.37,0.37,0,1.85,0.74,0.37,0.37,0,0.37,0,0,3.33
3Month,0.31,3.43,1.04,36.93,0.31,0,0.62,0.42,0.1,12.69,3.74,0.1,0,29.54,6.03,1.25,30.69,4.37,9.88,10.09,9.78,2.39,0,9.67,2.5,2.18,0.21,4.26,0.62,0,0.31,1.46,5.72,0.31,0,0,6.45,6.35,14.56
22Month,0,6.42,0.82,12.85,0,0,0.55,0.55,0,4.51,8.2,1.23,0,48.65,3.96,2.46,22.27,1.78,4.24,9.16,12.71,0.27,1.5,3.96,0.14,0.96,0.14,1.78,0.96,0.14,0.55,0.68,3.83,0.68,0.41,0,1.23,0,3.28
