stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,7.89,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0.85,0.28,0,0,0,0,0
21Day,0.37,4.81,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.74,0.37,0,0,0,0
3Month,0.52,0.21,0,0,0.1,0,0.1,0.1,0.1,0.21,0.21,0,0,0.21,0,0,0,0,0,0,0,0
22Month,0,0.41,0.14,0.27,0.27,0.14,10.8,0.14,0,3.96,0,0.55,0.41,0.14,0.27,0,0,0,0.27,0.14,0.14,0.14
