stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.22,0.74,0,1.85,0,0,0,0.74,0.74,0,0,0.74,1.11,0.37,1.11,0,0.74,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,2.5,0,0.1,0,0.21,1.87,0.62,2.6,0.1,1.14,0.31,0.31,0.83,0.31,0,0.31,0.1,0,0.1,0.21,0.94,0,0.31,1.04,2.5
22Month,0.14,0.14,0.68,0,0.14,0,0,0.68,2.19,0.68,0.41,0,0,0,1.09,0.55,0,0,0,0,0,0,0.14,0,0.14,0,0.82
