stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,9.86,2.54,0,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,8.14,0.74,0,0,0.74,0.37,0,0,0,0
3Month,0.1,0,0.73,0,0.1,0.1,0,2.08,0.1,0,0.62,0.1,0.31,1.14,0.62,0,0.1,0.31,0.31,0,0.1,0.1,0,0,0.31,0,0.21,0
22Month,0,0.55,0.41,0,0.27,0.96,0.55,8.2,0.27,0.14,0.96,0,0.14,1.23,0.96,0.41,0.27,0,0.41,0,0.27,0.14,0,0,0,0.27,0.14,0.68
