stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
21Day,0,0.37,0.74,1.85,0.37,0.37
22Month,0.27,0,0,0,0,0
