stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,2,113,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0,1.41,0.28,1.41,0,0,0,0,0,0,0,1.69,0.56,18.04,0,0.28,0.28,0,7.33,30.44,0,0,54.68,0,0,7.61,0,0,0.28,0,0
21Day,2.22,0.37,8.14,0,0.74,0,0.37,0.37,0.37,1.48,0,0.37,3.33,1.11,19.98,0,0,0,0.37,4.44,11.84,0,0.37,53.65,0.74,0,4.81,0.37,0.74,0.37,0,0.37
3Month,0,0.52,10.4,0.1,0,0.1,0.42,0,1.04,0.1,0.1,0,3.02,0.1,3.43,0.31,0,0.1,0.94,0,0.21,0,0,1.14,0.1,1.25,0.1,0,0,0,0.52,0.21
22Month,0,0.41,2.6,0,0,0,0.27,0.68,1.23,0.14,0.14,0,0,0.27,3.01,0.14,0,0,0,0,0.41,0.27,0,0.41,0,0.68,0,0.14,0,0,0.14,0
