stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,10.99,0.56,0,0,0,0.56,0,0,0.85,0,0,0,0
21Day,1.11,0,0,1.48,0.74,0.74,1.11,0,0,0,0,16.65,0.37,0,1.48,0.74,2.59,0,4.07,0,4.07,1.85,0,0,0,1.11,1.11,0.37,0,0,0,0,0.74
3Month,0,0.31,0.21,8.84,0,0.1,28.29,1.04,0,3.22,4.37,0.21,1.66,0.42,1.14,1.87,4.16,0.21,45.35,0.1,1.35,0.21,3.12,0.52,0,0,0.52,6.24,0,0,0.62,0.94,0.62
22Month,0,0.41,0.14,2.6,0,0,6.42,0.27,1.78,3.69,0.82,0.27,1.5,0,0.27,0.68,1.23,0,18.45,0,0.14,0,0.68,1.23,0.14,0,0.27,7.52,0.14,0.14,0.14,0,0.14
