stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,12,0,0,0,0,0,0,0,2,60,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,16.35,4.51,0,30.44,3.1,23.39,0.56,0.28,0.28,1.13,0,5.64,1174.74,3.38,40.02,1.13,0.85,1.13,243.52,110.48,0.85,1.41,0,38.61,0.28,0.28,16.35,0.85,0.28,2.25
21Day,0.74,0,0,5.18,0,1.85,0,0,0,0,0,0.74,39.96,0.74,0.74,0,0,0,0,0.37,0,0,0,1.48,0.37,0,0,0.37,0.37,0
3Month,0,0,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0,1.64,0,0,0,0.14,0.82,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0
