stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,2.54,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0.85,14.37,0,52.14,0,0.28,0,12.97,6.76,0.56,0.28,18.6,0,0,1.13,0,0,1.13,0,0,0
21Day,2.96,1.11,0,8.51,0.74,5.55,0,0.37,0,0,0,0.74,0,1.85,0.74,1.11,4.44,1.11,344.46,0,1.48,0,11.1,1.85,0,0,30.34,7.03,0.74,0.37,1.48,1.48,0.74,0,0,0.74
3Month,1.46,1.98,0.1,4.58,0,0,0.83,0,0.1,0.31,4.99,6.24,1.35,0.21,2.5,0.21,10.19,1.98,121.08,31.83,2.91,0.21,0.52,0,0.52,0,0.52,0.83,4.89,0,0,0,0.21,1.04,1.98,1.14
22Month,0.27,0.82,0.14,1.37,0,0,0.14,0,0,0.27,0.41,7.65,0.14,0.14,0.96,0,0.68,0.41,35.12,1.23,0.68,0,0,0.14,1.5,0.14,0.14,0.14,2.87,0.14,0,0,0,0,0,0.27
