stage,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,1,0,0,0,2,0,0,0,0
72hpf,0,0,0.85,0,2.25,0.85,0,1.41,0,0.28
21Day,0,0,0.74,0,0.37,0,0,0.37,0.37,7.77
22Month,0.68,0,0,0.14,0,0,0.14,0,0,0
