stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,4,0,16,0,0,0,0,0,0,0,0,0,2,9,6,18,0,0,0,0,11,2059,0,0,0,3,0,0,0,0,0,1,0,0,0
72hpf,9.3,0.56,0,4.79,1.13,5.36,0,0,0,0,0,0.28,0,2.82,7.61,9.3,9.02,0,0.28,0,0.28,382.47,396,0.28,1.69,0,9.58,0,0,28.47,0.28,1.13,0.28,0,0,0
21Day,5.92,0.37,0.37,11.1,0,5.92,2.59,0,0,1.48,0.37,1.85,2.22,0.74,5.18,4.07,8.88,0,0,0,0,180.92,229.02,0.37,0.37,0,5.18,8.88,0,22.57,0.74,3.33,1.85,0,0,2.22
3Month,0.1,0.31,0,1.46,0,0,0,1.04,0.42,1.25,0.52,0.1,0.62,0.42,0.62,1.77,0.42,0.31,0,0.21,0.1,2.39,4.47,0,0.1,0,0,0.1,1.87,0.31,0,0,0.1,0.1,25.8,0.62
22Month,0,0.14,0.14,1.64,0,0,0,0,0.68,3.96,0.14,0,0.27,0,0.14,3.55,0.82,0,0.14,0.14,0,1.5,4.78,0,0.14,0.14,0,0,1.23,1.09,0.14,0,0,0,0.14,0.68
