stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,4,0,0,2,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,4.79,0,0,0,0,0,0,0,0,0,1.69,0,0.56,0,0,0.28,6.2,4.51,0,0,0.28,0,0,0,3.1,0.28,0.28,0.28,0,0,0
21Day,0,0,0,2.22,2.59,0,0,0,0,0,0,0,0,0,0.37,0,1.48,0,0,0,2.22,0.74,0,0,0.74,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.1,0.73,0.73,28.29,0.94,0,1.35,2.5,0,10.71,3.43,0,3.22,6.03,1.46,2.29,3.43,0.62,0.62,0.83,3.74,0,1.87,0.31,0.21,1.46,0.1,18.72,0.31,0,0,0.42,0.42,390.69,1.25
22Month,0,0.14,0.14,12.44,0.27,0.27,0,0.41,0.27,4.37,0.41,0.14,0.27,0.41,0.14,0.41,3.01,0,0,0,0.82,0,0.55,0.14,0.14,0,0,7.24,0,0,0,0,0,1.09,0.14
