stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,1,0
21Day,2.22,0.37,2.22,0.37,0,0.37
