stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,1,0,0,0,1,4,0,0,2,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,1.13,0,0,0,1.13,2.25,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0.74,0,0,0,0,0.74,0,0.74,0,0,0
3Month,0,0.1,0,1.66,0.1,0.1,0.31,0.42,0,6.14,0.83,0.21,0.62,1.66,0.83,0,0.1,0.1,0.1,0,0.1,0,0.42,0,0.1,0.42,0.31
22Month,0,0.68,0.55,0.96,0,0,0.14,0.27,0,9.43,1.64,0.14,0.14,0.96,1.37,0.14,0.14,0,0,0.14,0,0,0.27,0,0.14,0,0.41
