stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,1.69,0.28,0,0.28,0.56,2.82,0,0,0,0,0,0,1.69,5.92,0.28,16.07,0,0,0,20.57,14.37,0.28,0.28,5.07,0,0,2.82,0.56,0,0.56,0,0
21Day,12.21,1.48,1.48,41.81,1.48,21.83,4.07,2.22,10.36,0.37,10.36,5.18,1.48,18.13,7.4,60.68,0.74,5.18,1.11,50.32,21.46,1.48,2.22,18.5,8.14,0.37,4.81,1.85,6.29,2.96,0.37,11.1
