stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,14.37,0.56,0,0
21Day,0,0.37,0.74,0,0,16.28,0.37,0.37,0.37
3Month,0.42,0.21,0,0.1,0.1,2.29,0,0,0
