stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0.28,0,0.56,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37
3Month,0,0.42,0.21,3.12,0.1,0.42,0.21,0,20.6,2.08,0,1.87,0.73,0.31,0.1,0.62,0.1,0,1.25,1.56,0,0.21,0.1,0,0.21,1.25,0.83,6.35,0.62
22Month,0,0.55,0,3.01,0,0.41,0.41,0.41,18.86,0.68,0.14,2.6,0,0.14,0.41,1.64,0,0.82,0.27,0.14,0,0.27,0,0,0.14,0.14,0.41,0,0.96
