stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,1.85,0.74,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.62,1.25,7.07,0.1,1.14,0.21,0.1,0.52,0.1,0.31,0.1,0,3.74,0,0,0.1,0,0.21
22Month,0.55,0.41,3.83,0,13.66,0,0,0.68,0,0,0,0.14,0,0,0,0,0.14,0
