stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0,0,0,0.56,0.85,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.52,2.5,0,1.14,0,0,3.54,0.1,1.56,0.42,0,0,0.21,0.1,0.62,1.35,0,0,1.66,0,0.21,10.19,0,0.31,0.1
22Month,0,0.14,1.37,0.14,0.68,0.41,0.14,14.62,0.14,2.73,0,0,0.14,0,1.37,0.14,0,0,0,1.37,0.27,0,5.6,0.14,0,0
