stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,2.82,0,0,5.64,0,0,0,0,0,0,0,0.28,0,0,0.85,0,1.97,0,0.28,0.28,27.62,3.95,0,3.66,0,0,0,3.66,1.13,0,0.56,0,0,0
21Day,0.74,2.22,0,0.74,18.5,0,10.36,0,0,0,0,0,0,0,0,0,0.37,2.22,0,0,0.74,14.43,4.81,0,2.59,0.74,0,0,3.7,0.74,1.48,0.74,0,0,0.37
3Month,0,0.94,1.35,0.1,0,0.42,0.31,0.31,0.1,0.1,1.35,0.31,0,0.21,0.1,0.21,0,1.77,0.21,0,0.21,0.73,0.21,0.1,0,0.1,0.1,1.98,0.31,0.1,0,0,0.1,2.39,0.1
22Month,0,3.01,1.23,0.14,0,0.27,0.14,0.41,0.68,1.37,3.96,0.27,0,0.55,0.14,0,0.14,1.91,0.14,0,0.27,1.78,0.14,0.41,0,0,0,0.27,0.55,1.37,0,0.14,0,0,0
