stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,5.92,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.21,0.94,0.52,5.41,0,0.1,0.21,2.29,0,7.18,2.29,0.21,2.7,0.73,1.77,0.94,1.35,0.42,0,0.73,0.42,0.21,0,0.31,0.31,0,0.1,0.52,3.43,0.1,0,0.1,0.62,1.14,1.25
22Month,0.14,0.68,0.14,3.28,0.55,0.14,0.14,5.74,0.55,25.42,0.68,0.27,2.73,0.41,0.41,1.91,2.19,0,0.96,0.27,0.14,0.27,0.14,0.55,0.27,0.41,0,0.55,1.64,0.14,0.82,0.14,0.27,0,0.55
