stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
21Day,0.37,0,0,0.37,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.21,0,0.83,0,0,0,0,0,0,0,0,0.1,0.42,0,0,0
22Month,0,0.41,0.96,0,1.23,0.14,1.5,0.14,3.83,0.55,3.55,0.27,0.68,18.04,1.5,0.68,0.14,0.14,0.14,0.41,0.14,0.14,0.14,0,0.27,0.27,2.73
