stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,3.66,0,0.28,0,0,0,0,0.56,1.41,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,3.33,0,0,0,0,0.74,0.37,0,0,0.74,0.74,1.11,4.81,1.85,0.37,0,0,0.37,0,0,0.74,0,0,0,0,0.37,0,0.37,0,0,1.11
3Month,0,0.31,1.35,30.16,0.1,0.52,0.52,3.85,8.43,0,4.37,6.03,0.62,32.35,0.73,5.72,9.15,1.35,0.1,0,3.43,0.52,0.1,0.1,0.31,0.21,0.62,0.1,7.39,0.1,0,0.62,1.56,13
22Month,0,0.96,2.19,6.7,0.14,0.14,0.68,2.19,25.83,41.68,9.43,4.1,2.46,40.99,0.68,1.78,10.11,1.23,0.14,0.41,0.27,0.14,0,0,0.68,0,0,0,0.82,0,0.14,0.27,0,4.37
