stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.54,0,0,0,0,0,0,0,0,0.56,12.97,0,1.13,0,0,2.25,0.85,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0,8.51,0,0.37,0.37,0,0,0.37,0,0,0.37,5.55,0,0.74,0,0,0.74,0.74,0,0,0.74,0,0,0,0.37,0,0,0
3Month,0.1,8.74,0,0.1,0.1,0.1,0,1.87,0,0.94,0.31,21.74,0.1,0.52,0,0.1,0.1,0,0,0,0,0.21,0.31,0,0,1.25,0.83,0.52
22Month,0,3.83,0.14,0.27,0.14,0.14,2.46,3.69,0.14,0.68,0,1.64,0.41,1.37,0.14,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0,0
