stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,1,1,0,0,0
72hpf,0.28,0.85,0,0.28,0,0,0.85,0.28,0
21Day,0.74,1.48,0,0,0,0.37,0.37,0,0.37
3Month,0,0,0.21,0.1,0,0,0,0,0
