stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
72hpf,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0.85,0,0.85,3.38,6.76,0,0.28,0.85,0,0,3.38,0,0,0
21Day,5.18,0,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0.37,1.48,3.7,0,0,0,0,0.37,2.22,0,0,0
3Month,2.29,10.51,2.39,0.1,0,0.1,0.1,1.56,0.31,1.66,0.52,0.1,5.62,0.42,0.42,0.42,1.25,0.1,0,0.52,42.86,0.21,0.21,0.42,0.1,0.1,0.73,4.58,0.21,0.31,1.87,0.52
22Month,0.27,1.09,0,0,0,0,0,0,0,0.55,0,0,0.96,0.14,0,0,0,0,0,0,1.23,0.14,0,0,0,0,0,0,0,0,0,0.14
