stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,2,1,3,2,0,0,0,0,0,0,0,0,7,4,0,0,4,421,0,1,0,0,0,0,0
72hpf,1.13,0,1.13,0,0.28,0,0,0,0,0,0,0.28,0.28,1.41,0.28,0,97.8,45.38,0.28,1.41,0,0,5.92,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0,0,1.48,0,0,0.37,0,0.37,25.9,16.28,0.37,0.37,1.48,0,4.07,0,1.11
3Month,0,0,0.21,0,0,0,0,0,0.1,0.42,0,0.1,0,0.1,0,0.1,0.1,0.21,0,0,0,1.35,0,0.31,0.1
22Month,0,0,0.14,0,0,0.14,0.14,0.14,0.27,2.32,0.27,0,0.55,0.14,0,0,0,0.14,0,0,0,3.55,0,0,0
