stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,1.69,0,0,0,0,0,0,0,0,0,0,0.56,1.69,0,0.56,0,0,0,1.13,0.85,0,0.28,0,0,0,0,0,0
21Day,0,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0.1,4.26,0.1,0,0.42,0.21,0,0,10.09,0.52,0.1,1.25,0.73,0.73,0.31,1.04,0,0.21,0.83,0.1,0,0.1,0,0,26.21,0.21,0.1,4.89,0.31
22Month,0,1.5,0,0.14,0.14,0.41,0.41,0,16.67,0.41,0.27,2.05,0,0.14,0.82,0.68,0.68,0,0.14,0,0.27,0.14,0,0,13.53,0.41,0.27,0,0.41
