stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,4,2,0,0,0,0,1,1,0,12,0,0,3,55,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,0.28,0,0,0,0,0,0.85,0.28,1.97,0,0,18.6,6.2,0,0.28,0.85,0,0,1.97,0,0,0,0
21Day,3.33,0.37,0.74,8.88,0.74,0,0,0,0,0.74,0,0,8.88,0.37,1.11,5.55,2.22,0.74,0,2.59,1.11,0,1.11,0.37,0,0,0.37
3Month,0,0.31,0.1,1.87,0,0,0.1,0.1,0.21,0.42,0.62,0.1,0.52,0,0.1,0.1,0,0.1,0,0.21,0.1,0.21,0,0,2.08,0.31,0
22Month,0.14,0.14,0,0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
